time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,controller_mode,safety_active,event_code,return_ref_x,return_ref_y,return_ref_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0
0.01,4.064176962934042e-19,1.1209563797886545e-19,-6.746742209370735e-06,0.0,0.0,0.02,-4.0722238886180875e-15,-1.4498936520369212e-15,-3.636040705146291e-15,1.1109291210782106,-1.1109291210785501,1.1109291210786452,-1.1109291210783734,1.0,0.0,10.0,-4.064176962934042e-19,-1.1209563797886545e-19,0.020006746742209373
0.02,-2.159407521444568e-18,-4.896808911014254e-19,-1.3414169683163056e-05,0.0,0.0,0.04,-8.464432906142031e-15,-4.309439164273162e-15,3.988383786936954e-15,2.1158180887655855,-2.115818088766124,2.1158180887665186,-2.115818088765896,1.0,0.0,10.0,2.159407521444568e-18,4.896808911014254e-19,0.04001341416968316
0.03,-4.0094416962274286e-18,-7.89137122811984e-19,-1.984223403382978e-05,0.0,0.0,0.06,-1.2849301439262999e-14,-7.206483216177378e-15,5.250219000347829e-15,3.0270970441698397,-3.0270970441706195,3.027097044171187,-3.0270970441703344,1.0,0.0,10.0,4.0094416962274286e-18,7.89137122811984e-19,0.06001984223403383
0.04,-5.876900524349948e-18,4.642833511419262e-18,-2.5974845940082695e-05,0.0,0.0,0.08,-1.6272603456438073e-14,-1.0728950693227094e-14,4.982879010945918e-14,3.8557488428671687,-3.8557488428676616,3.855748842868849,-3.855748842867461,1.0,0.0,10.0,5.876900524349948e-18,-4.642833511419262e-18,0.08002597484594008
0.05,-1.4606300416844902e-17,9.714834891090316e-18,-3.1772794563750935e-05,0.0,0.0,0.1,-1.9908825697862134e-14,-1.4013161063743358e-14,1.198728254790692e-13,4.61147420785124,-4.611474207851255,4.611474207853203,-4.611474207851068,1.0,0.0,10.0,1.4606300416844902e-17,-9.714834891090316e-18,0.10003177279456375
0.06,-1.5266491280617466e-17,2.1914602164408114e-17,-3.72100456496925e-05,0.0,0.0,0.12,-2.252615644063022e-14,-1.7748218271957792e-14,1.706412985748578e-13,5.3028418350111926,-5.302841835010864,5.302841835013363,-5.3028418350108,1.0,0.0,10.0,1.5266491280617466e-17,-2.1914602164408114e-17,0.12003721004564968
0.07,-2.648381938527903e-17,3.2487025205213935e-17,-4.227056963923451e-05,0.0,0.0,0.14,-2.5429630793491114e-14,-2.0774055332042115e-14,2.38867123058162e-13,5.9374204465672245,-5.937420446566431,5.9374204465695435,-5.937420446566387,1.0,0.0,10.0,2.648381938527903e-17,-3.2487025205213935e-17,0.14004227056963925
0.08,-4.3014597811632166e-17,4.653973971645757e-17,-4.6945794089674664e-05,0.0,0.0,0.16,-2.9417139778016144e-14,-2.4176156371292934e-14,2.9859177123147035e-13,6.521896487114093,-6.521896487113015,6.521896487116667,-6.521896487112935,1.0,0.0,10.0,4.3014597811632166e-17,-4.653973971645757e-17,0.16004694579408968
0.09,-4.5798871681233994e-17,7.21853828013031e-17,-5.1232613279643066e-05,0.0,0.0,0.18,-2.7442287505719093e-14,-2.626276310901755e-14,3.7559879314755457e-13,7.062229005022489,-7.062229005020517,7.06222900502473,-7.0622290050207335,1.0,0.0,10.0,4.5798871681233994e-17,-7.21853828013031e-17,0.18005123261327963
