metric,value
altitude_violation_count,64
altitude_violation_rate_hz,1.28
constraint_violation_count,64
constraint_violation_rate_hz,1.28
control_command_max,19.68082983443579
control_command_min,-19.680830220843916
control_command_normalized,False
control_energy,39941.67410733813
control_energy_per_second,798.8334821467625
control_smoothness,13469.569440018437
control_smoothness_per_second,269.39138880036876
controller_id,awff_sysblock
disturbance_peak_error_m,0.6964129599138065
disturbance_recovery_time_s,3.25
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,50.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_sysblock_robust_wind_gust_ablation
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:47
max_position_error_m,1.2971674565608264
max_tilt_rad,0.19664543442464147
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,4.858667213939629
overshoot_x_pct,4.841914294076108
overshoot_y_pct,4.858667213939629
overshoot_z_pct,1.9392613829957266
pitch_rmse_rad,0.049772102326402
position_rmse_m,0.3182242327920143
raw_file,results/raw/robust_wind_gust_example1_awff_sysblock.csv
robustness_score,71.15384615384616
roll_rmse_rad,0.03061914242576787
row_count,5001
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,robust_wind_gust_example1
settling_time_s,5.75
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.10310588605981016
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,55.00170073465435
tracking_score,89.04413065397603
valid,True
x_rmse_m,0.19493393557893113
y_rmse_m,0.13114249523645957
yaw_rmse_rad,0.00210603786526013
z_rmse_m,0.2146370635256885
