metric,value
generated_at,2026-05-10T21:13:28
raw_file,results/raw/official_example3_awff_sysblock.csv
scene_id,official_example3
controller_id,awff_sysblock
row_count,12001
duration_s,120.0
position_rmse_m,0.1666690665147141
x_rmse_m,0.04277019731465403
y_rmse_m,0.09795901057247135
z_rmse_m,0.1278801008844386
max_position_error_m,1.1872577309212287
steady_state_error_m,0.061905005287522324
settling_time_s,3.7600000000000002
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.09874272473658452
disturbance_recovery_time_s,0.0
overshoot_x_pct,68.52767488541728
overshoot_y_pct,6.175051652530346
overshoot_z_pct,1.6601628086839781
overshoot_max_pct,68.52767488541728
roll_rmse_rad,0.019180202421971677
pitch_rmse_rad,0.009095751430951034
yaw_rmse_rad,0.006649911208830004
max_tilt_rad,0.22942591466295528
minimum_altitude_m,0.0
altitude_violation_count,128
tilt_violation_count,0
constraint_violation_count,128
control_energy,95604.79893438029
control_smoothness,27372.840134325554
control_command_min,-19.279097185938745
control_command_max,17.09972525469884
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,93.88613747014537
robustness_score,86.46153846153847
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,60.28122585642823
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_closed_loop_full
